run_id,method,dimension,dataset_id,heldout_batch,seed,stochastic
historical__unintegrated_pca_matched__d40__pancreas__inDrop2__s0,unintegrated_pca_matched,40,pancreas,inDrop2,0,False
historical__sclsc_refonly__d16__pancreas__inDrop2__s40,sclsc_refonly,16,pancreas,inDrop2,40,True
historical__sclsc_refonly__d16__pancreas__inDrop2__s41,sclsc_refonly,16,pancreas,inDrop2,41,True
historical__sclsc_refonly__d16__pancreas__inDrop2__s42,sclsc_refonly,16,pancreas,inDrop2,42,True
historical__sclsc_refonly__d16__pancreas__inDrop2__s43,sclsc_refonly,16,pancreas,inDrop2,43,True
historical__sclsc_refonly__d16__pancreas__inDrop2__s44,sclsc_refonly,16,pancreas,inDrop2,44,True
historical__solar_orthogonal__d128__pancreas__inDrop3__s40,solar_orthogonal,128,pancreas,inDrop3,40,True
historical__solar_orthogonal__d128__pancreas__inDrop3__s41,solar_orthogonal,128,pancreas,inDrop3,41,True
historical__solar_orthogonal__d128__pancreas__inDrop3__s42,solar_orthogonal,128,pancreas,inDrop3,42,True
historical__solar_orthogonal__d128__pancreas__inDrop3__s43,solar_orthogonal,128,pancreas,inDrop3,43,True
historical__solar_orthogonal__d128__pancreas__inDrop3__s44,solar_orthogonal,128,pancreas,inDrop3,44,True
historical__solar_orthogonal_uniq__d128__pancreas__inDrop3__s40,solar_orthogonal_uniq,128,pancreas,inDrop3,40,True
historical__solar_orthogonal_uniq__d128__pancreas__inDrop3__s41,solar_orthogonal_uniq,128,pancreas,inDrop3,41,True
historical__solar_orthogonal_uniq__d128__pancreas__inDrop3__s42,solar_orthogonal_uniq,128,pancreas,inDrop3,42,True
historical__solar_orthogonal_uniq__d128__pancreas__inDrop3__s43,solar_orthogonal_uniq,128,pancreas,inDrop3,43,True
historical__solar_orthogonal_uniq__d128__pancreas__inDrop3__s44,solar_orthogonal_uniq,128,pancreas,inDrop3,44,True
historical__solar_none__d128__pancreas__inDrop3__s40,solar_none,128,pancreas,inDrop3,40,True
historical__solar_none__d128__pancreas__inDrop3__s41,solar_none,128,pancreas,inDrop3,41,True
historical__solar_none__d128__pancreas__inDrop3__s42,solar_none,128,pancreas,inDrop3,42,True
historical__solar_none__d128__pancreas__inDrop3__s43,solar_none,128,pancreas,inDrop3,43,True
historical__solar_none__d128__pancreas__inDrop3__s44,solar_none,128,pancreas,inDrop3,44,True
historical__frozen_reference_scvi__d30__pancreas__inDrop3__s40,frozen_reference_scvi,30,pancreas,inDrop3,40,True
historical__frozen_reference_scvi__d30__pancreas__inDrop3__s41,frozen_reference_scvi,30,pancreas,inDrop3,41,True
historical__frozen_reference_scvi__d30__pancreas__inDrop3__s42,frozen_reference_scvi,30,pancreas,inDrop3,42,True
historical__frozen_reference_scvi__d30__pancreas__inDrop3__s43,frozen_reference_scvi,30,pancreas,inDrop3,43,True
historical__frozen_reference_scvi__d30__pancreas__inDrop3__s44,frozen_reference_scvi,30,pancreas,inDrop3,44,True
historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s40,frozen_reference_scanvi,30,pancreas,inDrop3,40,True
historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s41,frozen_reference_scanvi,30,pancreas,inDrop3,41,True
historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s42,frozen_reference_scanvi,30,pancreas,inDrop3,42,True
historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s43,frozen_reference_scanvi,30,pancreas,inDrop3,43,True
historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s44,frozen_reference_scanvi,30,pancreas,inDrop3,44,True
historical__unintegrated_pca_matched__d40__pancreas__inDrop3__s0,unintegrated_pca_matched,40,pancreas,inDrop3,0,False
historical__sclsc_refonly__d16__pancreas__inDrop3__s40,sclsc_refonly,16,pancreas,inDrop3,40,True
historical__sclsc_refonly__d16__pancreas__inDrop3__s41,sclsc_refonly,16,pancreas,inDrop3,41,True
historical__sclsc_refonly__d16__pancreas__inDrop3__s42,sclsc_refonly,16,pancreas,inDrop3,42,True
historical__sclsc_refonly__d16__pancreas__inDrop3__s43,sclsc_refonly,16,pancreas,inDrop3,43,True
historical__sclsc_refonly__d16__pancreas__inDrop3__s44,sclsc_refonly,16,pancreas,inDrop3,44,True
solar30__immune_cell_human__10X__s40,solar_orthogonal,30,immune_cell_human,10X,40,True
solar30__immune_cell_human__10X__s41,solar_orthogonal,30,immune_cell_human,10X,41,True
solar30__immune_cell_human__10X__s42,solar_orthogonal,30,immune_cell_human,10X,42,True
solar30__immune_cell_human__10X__s43,solar_orthogonal,30,immune_cell_human,10X,43,True
solar30__immune_cell_human__10X__s44,solar_orthogonal,30,immune_cell_human,10X,44,True
solar30__immune_cell_human__Oetjen_A__s40,solar_orthogonal,30,immune_cell_human,Oetjen_A,40,True
solar30__immune_cell_human__Oetjen_A__s41,solar_orthogonal,30,immune_cell_human,Oetjen_A,41,True
solar30__immune_cell_human__Oetjen_A__s42,solar_orthogonal,30,immune_cell_human,Oetjen_A,42,True
solar30__immune_cell_human__Oetjen_A__s43,solar_orthogonal,30,immune_cell_human,Oetjen_A,43,True
solar30__immune_cell_human__Oetjen_A__s44,solar_orthogonal,30,immune_cell_human,Oetjen_A,44,True
solar30__immune_cell_human__Villani__s40,solar_orthogonal,30,immune_cell_human,Villani,40,True
solar30__immune_cell_human__Villani__s41,solar_orthogonal,30,immune_cell_human,Villani,41,True
solar30__immune_cell_human__Villani__s42,solar_orthogonal,30,immune_cell_human,Villani,42,True
solar30__immune_cell_human__Villani__s43,solar_orthogonal,30,immune_cell_human,Villani,43,True
solar30__immune_cell_human__Villani__s44,solar_orthogonal,30,immune_cell_human,Villani,44,True
solar30__lung_atlas__3__s40,solar_orthogonal,30,lung_atlas,3,40,True
solar30__lung_atlas__3__s41,solar_orthogonal,30,lung_atlas,3,41,True
solar30__lung_atlas__3__s42,solar_orthogonal,30,lung_atlas,3,42,True
solar30__lung_atlas__3__s43,solar_orthogonal,30,lung_atlas,3,43,True
solar30__lung_atlas__3__s44,solar_orthogonal,30,lung_atlas,3,44,True
solar30__lung_atlas__4__s40,solar_orthogonal,30,lung_atlas,4,40,True
solar30__lung_atlas__4__s41,solar_orthogonal,30,lung_atlas,4,41,True
solar30__lung_atlas__4__s42,solar_orthogonal,30,lung_atlas,4,42,True
solar30__lung_atlas__4__s43,solar_orthogonal,30,lung_atlas,4,43,True
solar30__lung_atlas__4__s44,solar_orthogonal,30,lung_atlas,4,44,True
solar30__lung_atlas__B1__s40,solar_orthogonal,30,lung_atlas,B1,40,True
solar30__lung_atlas__B1__s41,solar_orthogonal,30,lung_atlas,B1,41,True
solar30__lung_atlas__B1__s42,solar_orthogonal,30,lung_atlas,B1,42,True
solar30__lung_atlas__B1__s43,solar_orthogonal,30,lung_atlas,B1,43,True
solar30__lung_atlas__B1__s44,solar_orthogonal,30,lung_atlas,B1,44,True
solar30__pancreas__fluidigmc1__s40,solar_orthogonal,30,pancreas,fluidigmc1,40,True
solar30__pancreas__fluidigmc1__s41,solar_orthogonal,30,pancreas,fluidigmc1,41,True
solar30__pancreas__fluidigmc1__s42,solar_orthogonal,30,pancreas,fluidigmc1,42,True
solar30__pancreas__fluidigmc1__s43,solar_orthogonal,30,pancreas,fluidigmc1,43,True
solar30__pancreas__fluidigmc1__s44,solar_orthogonal,30,pancreas,fluidigmc1,44,True
solar30__pancreas__inDrop2__s40,solar_orthogonal,30,pancreas,inDrop2,40,True
solar30__pancreas__inDrop2__s41,solar_orthogonal,30,pancreas,inDrop2,41,True
solar30__pancreas__inDrop2__s42,solar_orthogonal,30,pancreas,inDrop2,42,True
solar30__pancreas__inDrop2__s43,solar_orthogonal,30,pancreas,inDrop2,43,True
solar30__pancreas__inDrop2__s44,solar_orthogonal,30,pancreas,inDrop2,44,True
solar30__pancreas__inDrop3__s40,solar_orthogonal,30,pancreas,inDrop3,40,True
solar30__pancreas__inDrop3__s41,solar_orthogonal,30,pancreas,inDrop3,41,True
solar30__pancreas__inDrop3__s42,solar_orthogonal,30,pancreas,inDrop3,42,True
solar30__pancreas__inDrop3__s43,solar_orthogonal,30,pancreas,inDrop3,43,True
solar30__pancreas__inDrop3__s44,solar_orthogonal,30,pancreas,inDrop3,44,True
sclsc30__immune_cell_human__10X__s40,sclsc_refonly,30,immune_cell_human,10X,40,True
sclsc30__immune_cell_human__10X__s41,sclsc_refonly,30,immune_cell_human,10X,41,True
sclsc30__immune_cell_human__10X__s42,sclsc_refonly,30,immune_cell_human,10X,42,True
sclsc30__immune_cell_human__10X__s43,sclsc_refonly,30,immune_cell_human,10X,43,True
sclsc30__immune_cell_human__10X__s44,sclsc_refonly,30,immune_cell_human,10X,44,True
sclsc30__immune_cell_human__Oetjen_A__s40,sclsc_refonly,30,immune_cell_human,Oetjen_A,40,True
sclsc30__immune_cell_human__Oetjen_A__s41,sclsc_refonly,30,immune_cell_human,Oetjen_A,41,True
sclsc30__immune_cell_human__Oetjen_A__s42,sclsc_refonly,30,immune_cell_human,Oetjen_A,42,True
sclsc30__immune_cell_human__Oetjen_A__s43,sclsc_refonly,30,immune_cell_human,Oetjen_A,43,True
sclsc30__immune_cell_human__Oetjen_A__s44,sclsc_refonly,30,immune_cell_human,Oetjen_A,44,True
sclsc30__immune_cell_human__Villani__s40,sclsc_refonly,30,immune_cell_human,Villani,40,True
sclsc30__immune_cell_human__Villani__s41,sclsc_refonly,30,immune_cell_human,Villani,41,True
sclsc30__immune_cell_human__Villani__s42,sclsc_refonly,30,immune_cell_human,Villani,42,True
sclsc30__immune_cell_human__Villani__s43,sclsc_refonly,30,immune_cell_human,Villani,43,True
sclsc30__immune_cell_human__Villani__s44,sclsc_refonly,30,immune_cell_human,Villani,44,True
sclsc30__lung_atlas__3__s40,sclsc_refonly,30,lung_atlas,3,40,True
sclsc30__lung_atlas__3__s41,sclsc_refonly,30,lung_atlas,3,41,True
sclsc30__lung_atlas__3__s42,sclsc_refonly,30,lung_atlas,3,42,True
sclsc30__lung_atlas__3__s43,sclsc_refonly,30,lung_atlas,3,43,True
sclsc30__lung_atlas__3__s44,sclsc_refonly,30,lung_atlas,3,44,True
sclsc30__lung_atlas__4__s40,sclsc_refonly,30,lung_atlas,4,40,True
sclsc30__lung_atlas__4__s41,sclsc_refonly,30,lung_atlas,4,41,True
sclsc30__lung_atlas__4__s42,sclsc_refonly,30,lung_atlas,4,42,True
sclsc30__lung_atlas__4__s43,sclsc_refonly,30,lung_atlas,4,43,True
sclsc30__lung_atlas__4__s44,sclsc_refonly,30,lung_atlas,4,44,True
sclsc30__lung_atlas__B1__s40,sclsc_refonly,30,lung_atlas,B1,40,True
sclsc30__lung_atlas__B1__s41,sclsc_refonly,30,lung_atlas,B1,41,True
sclsc30__lung_atlas__B1__s42,sclsc_refonly,30,lung_atlas,B1,42,True
sclsc30__lung_atlas__B1__s43,sclsc_refonly,30,lung_atlas,B1,43,True
sclsc30__lung_atlas__B1__s44,sclsc_refonly,30,lung_atlas,B1,44,True
sclsc30__pancreas__fluidigmc1__s40,sclsc_refonly,30,pancreas,fluidigmc1,40,True
sclsc30__pancreas__fluidigmc1__s41,sclsc_refonly,30,pancreas,fluidigmc1,41,True
sclsc30__pancreas__fluidigmc1__s42,sclsc_refonly,30,pancreas,fluidigmc1,42,True
sclsc30__pancreas__fluidigmc1__s43,sclsc_refonly,30,pancreas,fluidigmc1,43,True
sclsc30__pancreas__fluidigmc1__s44,sclsc_refonly,30,pancreas,fluidigmc1,44,True
sclsc30__pancreas__inDrop2__s40,sclsc_refonly,30,pancreas,inDrop2,40,True
sclsc30__pancreas__inDrop2__s41,sclsc_refonly,30,pancreas,inDrop2,41,True
sclsc30__pancreas__inDrop2__s42,sclsc_refonly,30,pancreas,inDrop2,42,True
sclsc30__pancreas__inDrop2__s43,sclsc_refonly,30,pancreas,inDrop2,43,True
sclsc30__pancreas__inDrop2__s44,sclsc_refonly,30,pancreas,inDrop2,44,True
sclsc30__pancreas__inDrop3__s40,sclsc_refonly,30,pancreas,inDrop3,40,True
sclsc30__pancreas__inDrop3__s41,sclsc_refonly,30,pancreas,inDrop3,41,True
sclsc30__pancreas__inDrop3__s42,sclsc_refonly,30,pancreas,inDrop3,42,True
sclsc30__pancreas__inDrop3__s43,sclsc_refonly,30,pancreas,inDrop3,43,True
sclsc30__pancreas__inDrop3__s44,sclsc_refonly,30,pancreas,inDrop3,44,True
pca30__immune_cell_human__10X,unintegrated_pca_matched,30,immune_cell_human,10X,40,False
pca30__immune_cell_human__Oetjen_A,unintegrated_pca_matched,30,immune_cell_human,Oetjen_A,40,False
pca30__immune_cell_human__Villani,unintegrated_pca_matched,30,immune_cell_human,Villani,40,False
pca30__lung_atlas__3,unintegrated_pca_matched,30,lung_atlas,3,40,False
pca30__lung_atlas__4,unintegrated_pca_matched,30,lung_atlas,4,40,False
pca30__lung_atlas__B1,unintegrated_pca_matched,30,lung_atlas,B1,40,False
pca30__pancreas__fluidigmc1,unintegrated_pca_matched,30,pancreas,fluidigmc1,40,False
pca30__pancreas__inDrop2,unintegrated_pca_matched,30,pancreas,inDrop2,40,False
pca30__pancreas__inDrop3,unintegrated_pca_matched,30,pancreas,inDrop3,40,False
